Rank,Company,Main Markets,Technology,Total Subscription,Ownership
13,Deutsche Telekom AG,Albania (Telekom Albania)    Austria (Magenta Telekom)    Bosnia and Herzegovina (HT Mostar)    Croatia (Hrvatski Telekom)    Czech Republic (T-Mobile)    Germany (Deutsche Telekom)    Greece (OTE)    Hungary (Magyar Telekom)    Montenegro (Crnogorski Telekom)    Netherlands (T-Mobile)    North Macedonia (Makedonski Telekom)    Poland (T-Mobile)    Puerto Rico (T-Mobile)    Romania (Telekom Romania)    Slovakia (Slovak Telekom)    United States (T-Mobile)     (74%)    United States Virgin Islands (T-Mobile)     (74%),"GSM,GPRS,EDGE,UMTS,HSPA,HSPA+,DC-HSPA+,LTE,LTE-A,LTE-A Pro,5G",179.0817-June 2019,Free float(68.2%)    Federal Republic of Germany(31.8%)
14,Telenor ASA,Bangladesh (Grameenphone)    Bulgaria (Telenor)    Denmark (Telenor)    Finland (DNA)    Hungary (Telenor)    Malaysia (DiGi)    Montenegro (Telenor)    Myanmar (Telenor)    Norway (Telenor)    Pakistan (Telenor)    Serbia (Telenor)    Sweden (Telenor)    Thailand (dtac),"GSM,GPRS,EDGE,UMTS,HSDPA,LTE",178.0318-June 2019,Government of Norway(53.97%)    Public stock (41.74%)    The Government Pension Fund of Norway(4.79%)
15,Telkomsel (PT Telekomunikasi Selular),Indonesia (Telkomsel)    East Timor (Telkomcel),"GSM,GPRS,EDGE,UMTS,HSDPA,HSPA+,LTE",163.019-December 2018,PT Telekomunikasi Indonesia Tbk(65%)    Singtel(35%)
16,Saudi Telecom Company,Bahrain (VIVA)    JordanKuwait (VIVA)    LebanonMalaysia (Maxis)     (25%)    Saudi ArabiaSouth Africa,"GSM,GPRS,EDGE,UMTS,HSDPA,LTE",161.020-December 2016,
17,Verizon Wirele,United State,"CDMA,EV-DO,LTE",153.921-November 2018,Verizon Communication
18,AT&T Inc.,Puerto Rico (AT&T Mobility LLC)    United States(AT&T Mobility LLC)    United States Virgin Islands (AT&T Mobility LLC)    Mexico (AT&T Mexico),"UMTS,HSDPA,HSPA+LTE",150.222-November 2018,"Institutional Shares (59.28%)    VANGUARD GROUP INC(14.12%)    BLACKROCK INC.(11.49%)    STATE STREET CORP(7.53%)    NEWPORT TRUST CO(5.07%)    GEODE CAPITAL MANAGEMENT, LLC (2.52%)    23"
19,Axiata Group Berhad,Bangladesh (Robi)    Cambodia (Smart)    Indonesia (XL)    Malaysia (Celcom)    Singapore (M1)    Nepal (Ncell)    Sri Lanka (Dialog),"GSM,GPRS,EDGE,UMTS,HSDPA,HSPA+,LTE,LTE-A",149.02425-December 2018,Public stock (54.91%)    Government of Malaysia(45.09%)
20,Emirates TelecommunicationGroup Company PJSC(Etisalat),AfghanistanBeninCentral African RepublicEgyptGabonIndonesia (XL Axiata)     (13.3%)    Côte d'IvoireNigerNigeria (40%)    Pakistan (26%)    Saudi Arabia (27%)    SudanTanzaniaTogoUnited Arab Emirate,"GSM,GPRS,EDGE,UMTS,HSDPA,LTE",143.0026-June 2019,Emirates Investment Authority(60.03%)    Public stock (39.97%)
21,Bharat Sanchar Nigam Limited,India(BSNL Mobile)     & (MTNL)    Mauritius(MTML)    Note 3272829,"GSM,GPRS,EDGE,UMTS,HSPA,HSDPA,TD-HSDPA,HSPA+,LTE,TD-LTE,FD-LTE,LTE Advanced",120.424-September 2019Note 427.,Government of India(100%)
22,Ooredoo QSC,Algeria (Ooredoo)     (46.4%)    Indonesia (Indosat Ooredoo)    Iraq (Asia Cell)     (30%)    KuwaitMaldivesMyanmar (Ooredoo)    Oman (Ooredoo)    QatarTunisia,"CDMA,EV-DO,GSM,GPRS,EDGE,UMTS,HSDPA,HSPA+,LTE",115.0030-June 2019,
23,3 Group Europe,Hong KongMacauUnited Kingdom (Three)    AustriaSwedenDenmarkIndonesiaSri Lanka (Hutch)    Italy (Wind Tree)    Vietnam (Vietnamobile)    Ireland (3),"CDMA,GSM,GPRS,EDGE,UMTS,LTE",112.231-2018,CK Hutchison Holding
24,Mobile TeleSystems (MTS),Russia (MTS)    Ukraine (MTS)    Armenia (VivaCell-MTS)    Belarus (MTS)    ),"CDMA,GSM,GPRS,EDGE,UMTS,LTE",104.732-May 2019,Sistema(50.8%)
25,Globe Telecom Inc.,Philippine,"CDMA,EV-DO,GSM,GPRS,EDGE,UMTS,HSPA+,LTE,LTE Advanced",83.533-March 2019,Asiacom (54.5%)    Singtel(21.5%)    Ayala Corporation(13.9%)    Public stock (10.2%)
26,MegaFon,RussiaTajikistan,"GSM,GPRS,EDGE,UMTS,HSDPALTE,LTE Advanced",76.934-December 2018,USM Holdings Limited (56.32%+3.92%)    Telia Company(25.17%)    Public stock (14.59%)
27,Mobile TelecommunicationCompany of Iran(Hamrahe Aval),Iran,"GSM,GPRS,EDGE,HSPA,HSPA+,DC-HSPA+,LTE,LTE Advanced",65.035-December 2016,Telecommunication Company of Iran(90%)    Public stock (10%)
28,PLDT Inc.,"Philippines (Smart,TNT,Sun Cellular)","GSM,GPRS,EDGE,UMTS,HSDPA,HSPA,HSPA+,LTE,WiMAX",63.9436-March 2019,
29,Sprint Corporation,Puerto RicoUnited StatesUnited States Virgin Island,"CDMA,EV-DO,LTE",53.637-March 2018,SoftBank Group(80%)
30,Mobile Telecommunications Company K.S.C.P.(Zain Group),Bahrain (Zain)    Iraq (Zain)    Jordan (Zain)    Kuwait (Zain)    Lebanon (Touch)    Morocco (Inwi)    Saudi Arabia (Zain)    South Sudan (Zain)    Sudan (Zain),"GSM,GPRS,EDGE,UMTS,LTE",49.1038-September 2019,Public stock (48.45%)    Kuwait Investment Authority(24.6%)    Oman Telecommunications(21.9%)    Nohoudh Development Trading & Contracting co. (5.05%)
